x,estimate
0,-10.74498567
0.370855148,107.4498567
0.676265271,189.8280802
1.02530541,275.7879656
1.505235602,390.4011461
1.963350785,494.269341
2.486910995,601.7191977
3.032286213,709.1690544
3.490401396,809.4555874
4.013961606,891.8338109
4.602966841,977.7936963
5.235602094,1053.008596
5.890052356,1117.47851
6.588132635,1174.7851
7.286212914,1224.928367
7.940663176,1271.489971
8.922338569,1310.888252
9.882198953,1353.868195
10.95113438,1393.266476
11.84554974,1425.501433
12.71815009,1450.573066
13.91797557,1489.971347
14.79057592,1518.624642
15.29232112,1540.114613
16.09947644,1575.931232
16.7539267,1604.584527
17.45200698,1636.819484
18.12827225,1661.891117
18.80453752,1697.707736
19.91710297,1755.014327
20.94240838,1805.157593
21.92408377,1851.719198
22.90575916,1912.60745
23.97469459,1984.240688
24.45462478,2016.475645
24.97818499,2048.710602
