x,estimate
0,-21.48997135
0.34904014,68.05157593
0.763525305,171.9197708
1.352530541,325.9312321
1.941535777,472.7793696
2.57417103,623.2091691
3.294066318,770.0573066
3.839441536,873.9255014
4.384816754,977.7936963
5.061082024,1067.335244
5.802792321,1164.040115
6.784467714,1246.418338
8.006108202,1325.2149
9.118673647,1378.939828
10.05671902,1418.338109
11.2565445,1446.991404
12.15095986,1461.318052
13.13263525,1464.899713
14.02705061,1472.063037
14.79057592,1493.553009
15.66317627,1515.04298
16.4921466,1540.114613
17.2556719,1558.022923
18.82635253,1611.747851
19.82984293,1654.727794
20.83333333,1694.126074
22.27312391,1765.759312
23.60383944,1855.30086
24.19284468,1887.535817
24.97818499,1941.260745
