sc,alpha.s,alpha.s1,alpha.s2,alpha.s3,dur.rec.s.min,dur.rec.s1.min,dur.rec.s2.min,dur.rec.s3.min,dur.rec.s.max,dur.rec.s1.max,dur.rec.s2.max,dur.rec.s3.max
sc1,0.7,0.63,0.595,0.56,35,40,45,40,70,75,80,85
sc2,0.7,0.63,0.56,0.595,35,40,40,45,70,75,85,80
sc3,0.7,0.63,0.595,0.595,35,40,45,45,70,75,80,80
sc4,0.7,0.595,0.63,0.56,35,45,40,40,70,80,75,85
sc5,0.7,0.56,0.63,0.595,35,40,40,45,70,85,75,80
sc6,0.7,0.595,0.63,0.595,35,45,40,45,70,80,75,80
sc7,0.7,0.595,0.56,0.63,35,45,40,40,70,80,85,75
sc8,0.7,0.56,0.595,0.63,35,40,45,40,70,85,80,75
sc9,0.7,0.595,0.595,0.63,35,45,45,40,70,80,80,75
sc10,0.7,0.63,0.63,0.63,35,40,40,40,70,75,75,75
sc11,0.7,0.7,0.7,0.7,35,35,35,35,70,70,70,70
sc12,0.63,0.7,0.595,0.56,40,35,45,40,75,70,80,85
sc13,0.63,0.7,0.56,0.595,40,35,40,45,75,70,85,80
sc14,0.63,0.7,0.595,0.595,40,35,45,45,75,70,80,80
sc15,0.595,0.7,0.63,0.56,45,35,40,40,80,70,75,85
sc16,0.56,0.7,0.63,0.595,40,35,40,45,85,70,75,80
sc17,0.595,0.7,0.63,0.595,45,35,40,45,80,70,75,80
sc18,0.595,0.7,0.56,0.63,45,35,40,40,80,70,85,75
sc19,0.56,0.7,0.595,0.63,40,35,45,40,85,70,80,75
sc20,0.595,0.7,0.595,0.63,45,35,45,40,80,70,80,75
sc21,0.63,0.7,0.63,0.63,40,35,40,40,75,70,75,75
sc22,0.63,0.595,0.7,0.56,40,45,35,40,75,80,70,85
sc23,0.63,0.56,0.7,0.595,40,40,35,45,75,85,70,80
sc24,0.63,0.595,0.7,0.595,40,45,35,45,75,80,70,80
sc25,0.595,0.63,0.7,0.56,45,40,35,40,80,75,70,85
sc26,0.56,0.63,0.7,0.595,40,40,35,45,85,75,70,80
sc27,0.595,0.63,0.7,0.595,45,40,35,45,80,75,70,80
sc28,0.595,0.56,0.7,0.63,45,40,35,40,80,85,70,75
sc29,0.56,0.595,0.7,0.63,40,45,35,40,85,80,70,75
sc30,0.595,0.595,0.7,0.63,45,45,35,40,80,80,70,75
sc31,0.63,0.63,0.7,0.63,40,40,35,40,75,75,70,75
sc32,0.63,0.595,0.56,0.7,40,45,40,35,75,80,85,70
sc33,0.63,0.56,0.595,0.7,40,40,45,35,75,85,80,70
sc34,0.63,0.595,0.595,0.7,40,45,45,35,75,80,80,70
sc35,0.595,0.63,0.56,0.7,45,40,40,35,80,75,85,70
sc36,0.56,0.63,0.595,0.7,40,40,45,35,85,75,80,70
sc37,0.595,0.63,0.595,0.7,45,40,45,35,80,75,80,70
sc38,0.595,0.56,0.63,0.7,45,40,40,35,80,85,75,70
sc39,0.56,0.595,0.63,0.7,40,45,40,35,85,80,75,70
sc40,0.595,0.595,0.63,0.7,45,45,40,35,80,80,75,70
sc41,0.63,0.63,0.63,0.7,40,40,40,35,75,75,75,70
